Trade_Balance;DataAccount;;
GOS_byAgent;DataAccount;H_Income;
NetCompWages_byAgent;DataAccount;H_Income;
InsuranceContrib_byAgent;DataAccount;;
Production_Tax_byAgent;DataAccount;;
Energ_Tax_byAgent;DataAccount;;
OtherIndirTax_byAgent;DataAccount;;
VA_Tax_byAgent;DataAccount;;
Property_income;DataAccount;H_Income;
Unemployment_transfers;DataAccount;H_Income;
Pensions;DataAccount;H_Income;
Other_social_transfers;DataAccount;H_Income;
ClimPolicyCompens;DataAccount;H_Income;
Other_Transfers;DataAccount;H_Income;
Income_Tax;DataAccount;H_Tax;
Corporate_Tax;DataAccount;;
Other_Direct_Tax;DataAccount;H_Tax;
Disposable_Income;DataAccount;;
FC_byAgent;DataAccount;H_Expenditures;
GFCF_byAgent;DataAccount;H_Expenditures;
Tot_FC_byAgent;DataAccount;;
NetLending;DataAccount;;
NetFinancialDebt;DataAccount;;
Corporations;Corporations;DomesticAgents;InstitAgents
Government;Government;DomesticAgents;InstitAgents
RestOfWorld;RestOfWorld;;InstitAgents
