Carbon_Tax_Diff_IC;Agri;Coal;Crude_oil;Ferrous;Non_ferrous;Non_metallic;Composite;Refinery;Coke;Soda;Ethylene;Electricity;Gas;Transport
Agri;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ferrous;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Non_ferrous;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Non_metallic;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Composite;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Refinery;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Coke;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Soda;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ethylene;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Transport;1;1;1;1;1;1;1;1;1;1;1;1;1;1
