ConstrainedShare_C;HH1
Agri;%nan
Coal;0.5
Crude_oil;0.5
Ferrous_min;%nan
Non_ferrous_min;%nan
Non_metallic_min;%nan
Agri_food;%nan
Food;%nan
Beverage;%nan
Tobacco;%nan
Textile;%nan
Wearing;%nan
Leather;%nan
Wood;%nan
Furniture;%nan
Paper;%nan
Print;%nan
Culture;%nan
Refinery;0.5
Coke;0.5
Chemical_product;%nan
Medicine;%nan
Fiber;%nan
Rubber;%nan
Plastic;%nan
Non_metallic;%nan
Ferrous_press;%nan
Non_ferrous_press;%nan
Metal_product;%nan
General_equip;%nan
Specila_equip;%nan
Trans_equip;%nan
Electric_equip;%nan
Communi_equip;%nan
Measure_ins_equip;%nan
Art_manufact;%nan
Waste;%nan
Electricity;0.5
Gas;0.5
Water;%nan
Construction;%nan
Transport;%nan
Commerce;%nan
Others;%nan
