//Names;;;;;;;;;;;;;;Notes
//;;;;;;;;;;;;;;
//Sectors;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Ciment;OthMin;OthIndus;Agriculture;Composite;
//;;;;;;;;;;;;;;
// Production;;;;;;;;;;;;;;
sigma_Phi;1;1;1;1;1;1;1;1;1;1;1;1;1;
sigma_Theta;1;1;1;1;1;1;1;1;1;1;1;1;1;
ConstrainedShare_Labour;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;
ConstrainedShare_Capital;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;
//;;;;;;;;;;;;;;
//International trade parameters;;;;;;;;;;;;;;
sigma;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;
sigma_X;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;
sigma_M;1;1;1;1;1;1;1;1;1;1;1;1;1;
delta_M_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;
delta_X_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;
