Carbon_Tax_Diff_IC;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1
Petr_Ref;1;1;1;1;1;1;1;1;1;1;1;1;1
Ely_gas_wat;1;1;1;1;1;1;1;1;1;1;1;1;1
Agric_fish;1;1;1;1;1;1;1;1;1;1;1;1;1
Oth_mining;1;1;1;1;1;1;1;1;1;1;1;1;1
Petchem;1;1;1;1;1;1;1;1;1;1;1;1;1
Non_met_min;1;1;1;1;1;1;1;1;1;1;1;1;1
Oth_Manuf;1;1;1;1;1;1;1;1;1;1;1;1;1
Cial_pub_sces;1;1;1;1;1;1;1;1;1;1;1;1;1
wtp;1;1;1;1;1;1;1;1;1;1;1;1;1
atp;1;1;1;1;1;1;1;1;1;1;1;1;1
otp;1;1;1;1;1;1;1;1;1;1;1;1;1
